id,street,city,state,zipCode
673,Fairfield,Detroit,Michigan,57604
674,Darwin,Pittsburgh,Pennsylvania,83021
675,Independence,Denver,Colorado,99918
676,Holy Cross,El Paso,Texas,32657
677,Oakridge,Ocala,Florida,19475
678,7th,Bowie,Maryland,71255
679,Gina,Portland,Oregon,77136
680,Sauthoff,Lincoln,Nebraska,79610
681,Karstens,Jacksonville,Florida,44990
682,Golf Course,Birmingham,Alabama,44564
683,Ridgeway,New York City,New York,57365
684,Hintze,Sarasota,Florida,57171
685,Nancy,Miami,Florida,88769
686,Thompson,Huntington,West Virginia,48017
687,Hintze,Milwaukee,Wisconsin,65535
688,Sugar,Tucson,Arizona,67628
689,Dwight,Dallas,Texas,77133
690,Lake View,Omaha,Nebraska,99214
691,Swallow,Tacoma,Washington,79022
692,Dryden,Charleston,South Carolina,17827
693,Mifflin,Muncie,Indiana,51338
694,Anniversary,Fresno,California,19755
695,Utah,Austin,Texas,09997
696,Fremont,Jacksonville,Florida,22740
697,Becker,Little Rock,Arkansas,04215
698,Reinke,Knoxville,Tennessee,49045
699,Buhler,Topeka,Kansas,24566
700,Northview,Grand Rapids,Michigan,13927
701,Luster,Crawfordsville,Indiana,88595
702,Stuart,Orlando,Florida,80464
703,Pawling,Metairie,Louisiana,41034
704,Lunder,East Saint Louis,Illinois,19884
705,Morning,Jefferson City,Missouri,91480
706,Lillian,Birmingham,Alabama,53994
707,Delladonna,Santa Fe,New Mexico,63615
708,Oxford,Charleston,West Virginia,30646
709,Hollow Ridge,Minneapolis,Minnesota,29617
710,Esker,Pittsburgh,Pennsylvania,09765
711,Mallory,Topeka,Kansas,35767
712,Onsgard,Mountain View,California,13814
713,Morrow,Charleston,South Carolina,43985
714,Esker,Knoxville,Tennessee,36554
715,Hoard,Reno,Nevada,87942
716,Badeau,San Antonio,Texas,42381
717,Redwing,El Paso,Texas,77477
718,4th,Baltimore,Maryland,62634
719,Roth,Irving,Texas,60643
720,Mccormick,New Hyde Park,New York,81595
721,Springview,Ogden,Utah,62406
722,Manufacturers,Indianapolis,Indiana,08137
723,Ramsey,Charlotte,North Carolina,52004
724,Chinook,Salt Lake City,Utah,28084
725,Dwight,Miami,Florida,20012
726,Leroy,Los Angeles,California,11091
727,Glacier Hill,Huntsville,Alabama,07190
728,Barby,Los Angeles,California,65016
729,Twin Pines,Champaign,Illinois,78764
730,Northview,Pomona,California,84613
731,Meadow Ridge,Port Charlotte,Florida,12248
732,Meadow Valley,Gary,Indiana,10444
733,Roxbury,Austin,Texas,18162
734,Carpenter,Fort Wayne,Indiana,05939
735,Larry,Gaithersburg,Maryland,91272
736,Harper,Cincinnati,Ohio,20042
737,Norway Maple,Louisville,Kentucky,42805
738,Spaight,Austin,Texas,02342
739,American,Toledo,Ohio,76773
740,Fulton,Tulsa,Oklahoma,21892
741,Grim,Atlanta,Georgia,00348
742,Anderson,Stockton,California,15738
743,Rieder,Denver,Colorado,24830
744,Knutson,Shawnee Mission,Kansas,34293
745,Macpherson,Trenton,New Jersey,17675
746,Barnett,Detroit,Michigan,64383
747,Bartillon,Arlington,Virginia,57670
748,Jenna,Pasadena,California,86040
749,Warbler,Austin,Texas,76601
750,Aberg,Hot Springs National Park,Arkansas,99442
751,Forest,San Antonio,Texas,69985
752,Express,Winston Salem,North Carolina,13526
753,Dottie,Charlottesville,Virginia,81536
754,Fuller,Shreveport,Louisiana,28771
755,Trailsway,Bronx,New York,13154
756,Scott,Washington,District of Columbia,73628
757,Grim,Baltimore,Maryland,40238
758,Pond,Shawnee Mission,Kansas,29474
759,Moland,Allentown,Pennsylvania,13371
760,Nancy,Philadelphia,Pennsylvania,49342
761,Macpherson,Aurora,Colorado,66739
762,Annamark,New York City,New York,41594
763,Fairview,Washington,District of Columbia,86875
764,Moland,Stockton,California,51732
765,Namekagon,Atlanta,Georgia,99124
766,Dayton,Cleveland,Ohio,07914
767,Oakridge,Phoenix,Arizona,72393
768,Dawn,Paterson,New Jersey,33038
769,Parkside,Evansville,Indiana,87835
770,Calypso,Des Moines,Iowa,49711
771,Del Sol,Wichita Falls,Texas,19353
772,Northview,Las Vegas,Nevada,26728
773,Russell,San Jose,California,77114
774,Fieldstone,Lehigh Acres,Florida,02929
775,Arizona,Greenville,South Carolina,06644
776,Coleman,Honolulu,Hawaii,87478
777,Shasta,Panama City,Florida,22930
778,Nova,Hampton,Virginia,44899
779,Monument,Atlanta,Georgia,46929
780,Oxford,Springfield,Illinois,35165
781,Warner,Des Moines,Iowa,54333
782,Weeping Birch,Cleveland,Ohio,03865
783,Dakota,Alhambra,California,24517
784,Grayhawk,Louisville,Kentucky,79011
785,Karstens,El Paso,Texas,95856
786,Golf,Washington,District of Columbia,24452
787,Pepper Wood,Oklahoma City,Oklahoma,35083
788,Shopko,Orlando,Florida,22841
789,Ronald Regan,Lexington,Kentucky,84333
790,Hudson,Elizabeth,New Jersey,00010
791,Loomis,Tulsa,Oklahoma,80514
792,Ruskin,Los Angeles,California,12370
793,Westend,Ann Arbor,Michigan,96781
794,Becker,Akron,Ohio,84705
795,Spenser,Dearborn,Michigan,57958
796,Schlimgen,Concord,California,01085
797,Boyd,Minneapolis,Minnesota,51914
798,Talmadge,Abilene,Texas,58353
799,Loomis,Baltimore,Maryland,05495
800,Reindahl,Missoula,Montana,33747
801,Esch,Fort Lauderdale,Florida,10537
802,Rockefeller,New Haven,Connecticut,55302
803,Del Mar,Cincinnati,Ohio,04482
804,Crownhardt,Battle Creek,Michigan,01104
805,Magdeline,Bethlehem,Pennsylvania,03505
806,La Follette,Nashville,Tennessee,33959
807,Morning,Peoria,Illinois,88753
808,Loomis,Aurora,Colorado,42548
809,Independence,Seattle,Washington,96725
810,Kenwood,Oklahoma City,Oklahoma,32611
811,Del Mar,Mount Vernon,New York,34551
812,Carey,Irving,Texas,33902
813,Express,Columbus,Georgia,26748
814,Golden Leaf,Detroit,Michigan,32813
815,Schiller,Kansas City,Missouri,88042
816,Buena Vista,Henderson,Nevada,97690
817,Kim,Littleton,Colorado,37440
818,Merchant,Lexington,Kentucky,80093
819,Sherman,Boulder,Colorado,77042
820,Delaware,Rochester,Minnesota,17161
821,New Castle,Racine,Wisconsin,15461
822,Victoria,Biloxi,Mississippi,18796
823,Moland,Springfield,Illinois,96947
824,Dorton,Portland,Oregon,90207
825,Burning Wood,Pittsburgh,Pennsylvania,59876
826,Esch,Brockton,Massachusetts,91281
827,Namekagon,Frankfort,Kentucky,74224
828,Fair Oaks,Minneapolis,Minnesota,53775
829,Main,Montgomery,Alabama,56491
830,Oakridge,Jacksonville,Florida,47585
831,Graedel,Oakland,California,91892
832,Cambridge,Roanoke,Virginia,13693
833,Northport,Orlando,Florida,29922
834,Drewry,Bethlehem,Pennsylvania,26276
835,Del Mar,Lawrenceville,Georgia,80957
836,Cody,Silver Spring,Maryland,96707
837,Sunfield,Oklahoma City,Oklahoma,49467
838,Sloan,Phoenix,Arizona,16494
839,Cambridge,Austin,Texas,19419
840,Graceland,Syracuse,New York,26000
841,Meadow Vale,Decatur,Georgia,27638
842,Lakeland,Sunnyvale,California,43739
843,Waywood,Raleigh,North Carolina,95811
844,Melrose,Houston,Texas,98765
845,Logan,East Saint Louis,Illinois,46590
846,4th,Oklahoma City,Oklahoma,45836
847,Westerfield,Houston,Texas,31061
848,Sutherland,Oklahoma City,Oklahoma,28954
849,Truax,West Palm Beach,Florida,56123
850,Briar Crest,Louisville,Kentucky,21173
851,Sachs,Jamaica,New York,37795
852,Kinsman,Racine,Wisconsin,99209
853,Havey,North Port,Florida,97453
854,Basil,Tulsa,Oklahoma,98061
855,Bonner,Charlotte,North Carolina,95685
856,Maple,Atlanta,Georgia,47777
857,Hermina,Fort Lauderdale,Florida,54456
858,Pepper Wood,Cincinnati,Ohio,67306
859,Beilfuss,Brooklyn,New York,45924
860,1st,Bakersfield,California,83127
861,Kensington,Laredo,Texas,55008
862,Dwight,Memphis,Tennessee,98418
863,Marcy,Shawnee Mission,Kansas,73847
864,Lake View,Durham,North Carolina,83528
865,Vera,Little Rock,Arkansas,65704
866,Thackeray,Tulsa,Oklahoma,95328
867,Oakridge,Houston,Texas,82613
868,Luster,San Francisco,California,53797
869,Morning,Las Vegas,Nevada,82322
870,Cottonwood,Amarillo,Texas,47403
871,Russell,Mesa,Arizona,70010
872,Meadow Valley,Herndon,Virginia,27631
873,Dakota,Columbus,Ohio,95309
874,Russell,Philadelphia,Pennsylvania,21369
875,Esch,Phoenix,Arizona,83636
876,Maryland,New York City,New York,75696
877,Charing Cross,Boston,Massachusetts,01560
878,Eastwood,Vienna,Virginia,49342
879,Basil,Glendale,California,74759
880,Mallory,San Antonio,Texas,94270
881,Russell,Chico,California,16303
882,Old Gate,Cleveland,Ohio,71288
883,Eliot,Tampa,Florida,99916
884,Thierer,Fresno,California,10703
885,Kipling,Houston,Texas,82252
886,Red Cloud,Charlotte,North Carolina,11518
887,Welch,Jamaica,New York,07833
888,Ruskin,Saint Louis,Missouri,73507
889,Esch,Atlanta,Georgia,43621
890,Bobwhite,Sacramento,California,58522
891,Loeprich,Dallas,Texas,80433
892,Atwood,Wilkes Barre,Pennsylvania,71933
893,Johnson,Santa Barbara,California,28381
894,Almo,Houston,Texas,61058
895,Randy,Jersey City,New Jersey,83506
896,Lyons,Amarillo,Texas,21850
897,Nancy,Nashville,Tennessee,20073
898,Forest Run,Elmira,New York,63971
899,Hallows,San Diego,California,03688
900,Holmberg,Delray Beach,Florida,66219
901,Porter,Albuquerque,New Mexico,00913
902,Prairieview,Irvine,California,93451
903,Golden Leaf,Peoria,Illinois,88018
904,Dakota,Oklahoma City,Oklahoma,80607
905,Mifflin,Stamford,Connecticut,29353
906,Northfield,Fullerton,California,16799
907,Eagan,Columbia,South Carolina,62878
908,Sheridan,Harrisburg,Pennsylvania,66926
909,Fulton,Albuquerque,New Mexico,85622
910,Summit,Des Moines,Iowa,88691
911,Sommers,Colorado Springs,Colorado,86194
912,Fordem,Bradenton,Florida,70201
913,Prairie Rose,Fresno,California,38585
914,Carberry,Miami,Florida,65790
915,Laurel,San Antonio,Texas,94070
916,Eggendart,Saint Paul,Minnesota,89773
917,Burning Wood,Austin,Texas,84747
918,Cambridge,Tacoma,Washington,01575
919,Shopko,Long Beach,California,51259
920,Ridgeway,Erie,Pennsylvania,46422
921,Pierstorff,Reno,Nevada,02298
922,Russell,Lansing,Michigan,78627
923,Mallory,Delray Beach,Florida,93906
924,Merchant,Columbia,South Carolina,68445
925,Northfield,Cedar Rapids,Iowa,87367
926,Hoffman,Utica,New York,78726
927,Welch,Syracuse,New York,05380
928,Vernon,Houston,Texas,37549
929,Columbus,Portland,Oregon,77368
930,Pond,Phoenix,Arizona,45069
931,Spaight,Washington,District of Columbia,68062
932,American,Hattiesburg,Mississippi,01020
933,Lunder,New York City,New York,31223
934,Donald,Sioux Falls,South Dakota,53881
935,Menomonie,Saint Cloud,Minnesota,80166
936,Hazelcrest,Charlotte,North Carolina,11379
937,Lakewood Gardens,Knoxville,Tennessee,53840
938,Cherokee,Akron,Ohio,75577
939,Arizona,Atlanta,Georgia,96995
940,Helena,Tampa,Florida,25950
941,Petterle,Orlando,Florida,75850
942,Pennsylvania,Roanoke,Virginia,31865
943,Lotheville,Los Angeles,California,29729
944,Bluejay,Appleton,Wisconsin,81843
945,Cascade,San Francisco,California,73889
946,Ronald Regan,Atlanta,Georgia,88976
947,Cottonwood,Gadsden,Alabama,53156
948,Marcy,Knoxville,Tennessee,62283
949,Redwing,Omaha,Nebraska,55440
950,Dakota,Pueblo,Colorado,59074
951,Continental,Columbus,Ohio,63648
952,6th,Lubbock,Texas,12357
953,Washington,Dallas,Texas,78879
954,Anhalt,Philadelphia,Pennsylvania,14510
955,Fieldstone,Grand Rapids,Michigan,40477
956,Meadow Valley,Toledo,Ohio,59892
957,Anniversary,Sacramento,California,31623
958,Monica,Mobile,Alabama,86634
959,Gina,San Angelo,Texas,91442
960,Holy Cross,Tampa,Florida,29255
961,Linden,Brooklyn,New York,47813
962,Mesta,Brooklyn,New York,10649
963,Transport,Fort Worth,Texas,07987
964,Grasskamp,Sacramento,California,60320
965,Reinke,Wichita,Kansas,38813
966,Southridge,Kansas City,Missouri,42962
967,Express,Virginia Beach,Virginia,90286
968,Clyde Gallagher,Indianapolis,Indiana,47802
969,Corben,San Diego,California,50270
970,Pankratz,Saint Paul,Minnesota,18946
971,Carioca,Great Neck,New York,21529
972,Banding,Sioux Falls,South Dakota,62560
973,Warrior,Saint Louis,Missouri,79099
974,Riverside,Atlanta,Georgia,75477
975,Scoville,Wilmington,Delaware,51614
976,High Crossing,Kansas City,Missouri,30716
977,La Follette,Columbus,Ohio,65325
978,Wayridge,Billings,Montana,91913
979,Blackbird,Tampa,Florida,84224
980,Del Sol,Panama City,Florida,55855
981,Clove,Sacramento,California,13895
982,Swallow,Billings,Montana,33718
983,Jana,Peoria,Illinois,46372
984,Fuller,San Antonio,Texas,00042
985,Green Ridge,Washington,District of Columbia,89706
986,Moland,Boston,Massachusetts,78544
987,Monterey,Orlando,Florida,19253
988,Eagle Crest,Waterbury,Connecticut,50106
989,Briar Crest,New Castle,Pennsylvania,64148
990,Vidon,Lexington,Kentucky,44925
991,Thackeray,Honolulu,Hawaii,25405
992,Corben,Chico,California,55644
993,Grasskamp,Kansas City,Missouri,48604
994,Atwood,Lexington,Kentucky,49809
995,Pierstorff,Cincinnati,Ohio,70508
996,Messerschmidt,Stockton,California,60347
997,Talisman,Richmond,Virginia,62346
998,Stang,Mobile,Alabama,18639
999,Arrowood,Aurora,Colorado,96354
1000,Bellgrove,Washington,District of Columbia,61060
